tick,action,sm_state,pos_x,pos_y
223,8,SCAN,785.6,-3019.0
224,8,SCAN,785.6,-3019.0
225,8,SCAN,785.6,-3019.0
226,8,SCAN,785.6,-3019.0
227,8,SCAN,785.6,-3019.0
228,8,SCAN,785.6,-3019.0
229,8,SCAN,785.6,-3019.0
230,8,SCAN,785.6,-3019.0
231,8,SCAN,785.6,-3019.0
232,8,SCAN,785.6,-3019.0
233,8,SCAN,785.6,-3019.0
234,8,SCAN,785.6,-3019.0
235,8,SCAN,785.6,-3019.0
236,8,SCAN,785.6,-3019.0
237,8,SCAN,785.6,-3019.0
238,8,SCAN,785.6,-3019.0
239,8,SCAN,785.6,-3019.0
240,8,SCAN,785.6,-3019.0
241,8,SCAN,785.6,-3019.0
242,8,SCAN,785.6,-3019.0
243,8,SCAN,785.6,-3019.0
244,8,SCAN,785.6,-3019.0
245,8,SCAN,785.6,-3019.0
246,8,SCAN,785.6,-3019.0
247,8,SCAN,785.6,-3019.0
248,8,SCAN,785.6,-3019.0
249,8,SCAN,785.6,-3019.0
250,8,SCAN,785.6,-3019.0
251,8,SCAN,785.6,-3019.0
252,8,SCAN,785.6,-3019.0
253,8,SCAN,785.6,-3019.0
254,8,SCAN,785.6,-3019.0
255,8,SCAN,785.6,-3019.0
256,8,SCAN,785.6,-3019.0
257,8,SCAN,785.6,-3019.0
258,8,SCAN,785.6,-3019.0
259,8,SCAN,785.6,-3019.0
260,8,SCAN,785.6,-3019.0
261,8,SCAN,785.6,-3019.0
262,8,SCAN,785.6,-3019.0
263,8,SCAN,785.6,-3019.0
264,8,SCAN,785.6,-3019.0
265,8,SCAN,785.6,-3019.0
266,8,SCAN,785.6,-3019.0
267,8,SCAN,785.6,-3019.0
268,0,TRAVERSE,785.6,-3019.0
269,8,RECOVER,785.6,-3019.0
270,8,RECOVER,785.6,-3019.0
271,8,RECOVER,785.6,-3019.0
272,8,RECOVER,785.6,-3019.0
273,8,RECOVER,785.6,-3019.0
274,8,RECOVER,785.6,-3019.0
275,1,RECOVER,785.6,-3019.0
276,1,RECOVER,785.9,-3018.3
277,1,RECOVER,786.6,-3017.0
278,1,RECOVER,787.5,-3015.1
279,1,RECOVER,788.8,-3012.7
280,1,RECOVER,790.2,-3009.8
281,8,RECOVER,791.9,-3006.5
282,1,RECOVER,793.4,-3003.5
283,8,RECOVER,795.1,-3000.1
284,4,RECOVER,796.7,-2997.0
285,4,RECOVER,798.1,-2994.2
286,4,RECOVER,799.4,-2991.6
287,4,RECOVER,800.6,-2989.3
288,4,RECOVER,801.7,-2987.2
289,4,RECOVER,802.6,-2985.3
290,4,RECOVER,803.5,-2983.6
291,4,RECOVER,804.3,-2982.1
292,4,RECOVER,805.0,-2980.7
293,4,RECOVER,805.7,-2979.4
294,4,RECOVER,806.3,-2978.2
295,4,RECOVER,806.8,-2977.2
296,4,RECOVER,807.3,-2976.2
297,4,RECOVER,807.7,-2975.4
298,4,RECOVER,808.1,-2974.6
299,4,RECOVER,808.5,-2973.9
300,4,RECOVER,808.8,-2973.3
301,4,RECOVER,809.1,-2972.7
302,4,RECOVER,809.4,-2972.1
303,4,RECOVER,809.6,-2971.7
304,4,RECOVER,809.8,-2971.2
305,4,RECOVER,810.0,-2970.8
306,4,RECOVER,810.2,-2970.5
307,4,RECOVER,810.4,-2970.2
308,4,RECOVER,810.5,-2969.9
309,4,RECOVER,810.7,-2969.6
310,4,RECOVER,810.8,-2969.4
311,4,RECOVER,810.9,-2969.2
312,4,RECOVER,811.0,-2969.0
313,4,RECOVER,811.1,-2968.8
314,4,RECOVER,811.2,-2968.6
315,4,RECOVER,811.2,-2968.5
316,4,RECOVER,811.3,-2968.3
317,4,RECOVER,811.4,-2968.2
318,4,RECOVER,811.4,-2968.1
319,4,RECOVER,811.5,-2968.0
320,1,RECOVER,811.5,-2967.9
321,1,RECOVER,810.8,-2967.8
322,1,RECOVER,809.3,-2967.7
323,1,RECOVER,807.2,-2967.7
324,1,RECOVER,804.6,-2967.6
325,1,RECOVER,801.3,-2967.5
326,1,RECOVER,797.7,-2967.4
327,1,RECOVER,793.5,-2967.3
328,4,RECOVER,789.0,-2967.2
329,1,RECOVER,784.9,-2967.1
330,4,RECOVER,780.4,-2967.0
331,1,RECOVER,776.3,-2967.0
