2026-02-02 15:11:56,463 - INFO - Starting Doom Agent with WAD: DOOM\wads\doom2.wad
2026-02-02 15:11:57,237 - INFO - Game initialized with WAD: DOOM\wads\doom2.wad
2026-02-02 15:11:57,239 - INFO - ============================================================
2026-02-02 15:11:57,239 - INFO - Starting new episode
2026-02-02 15:11:57,239 - INFO - ============================================================
2026-02-02 15:11:57,259 - INFO - Episode started successfully
2026-02-02 15:12:05,990 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,038 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,109 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,174 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,226 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,290 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,350 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,401 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,452 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,507 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,558 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,610 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,610 - INFO - Step 200: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:12:06,661 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,711 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,759 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,810 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,857 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,917 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:06,975 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,024 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,073 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,137 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,214 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,283 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,346 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,421 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,485 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,544 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,608 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,665 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,719 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,769 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,770 - INFO - Step 220: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:12:07,821 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,869 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
